CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
188,2026-07-01 12:23:10.874,FF,StackHL_b46_lp8_r1_pr4_lay8_m8,Plannerinputs/generated/problemStackHL_b46_lp8_r1_pr4_lay8_m8.pddl,True,303.91,352.18,2,0,
189,2026-07-01 12:23:11.653,FF,PickUpHL_b45_fp60_r1,Plannerinputs/generated/problemPickUpHL_b45_fp60_r1.pddl,True,318.85,367.34,2,0,
190,2026-07-01 12:23:12.430,FF,StackHL_b45_lp8_r1_pr4_lay8_m8,Plannerinputs/generated/problemStackHL_b45_lp8_r1_pr4_lay8_m8.pddl,True,315.69,368.79,2,0,
191,2026-07-01 12:23:13.264,FF,PickUpHL_b47_fp63_r1,Plannerinputs/generated/problemPickUpHL_b47_fp63_r1.pddl,True,324.21,384.52,2,0,
192,2026-07-01 12:23:14.092,FF,StackHL_b47_lp8_r1_pr4_lay8_m8,Plannerinputs/generated/problemStackHL_b47_lp8_r1_pr4_lay8_m8.pddl,True,313.31,353.85,2,0,
193,2026-07-01 12:23:14.890,FF,NailingBeamHL_b26_r1_m5_lay5,Plannerinputs/generated/problemNailingBeamHL_b26_r1_m5_lay5.pddl,True,310.61,365.10,8,0,
194,2026-07-01 12:23:16.513,FF,NailingBeamHL_b28_r1_m5_lay5,Plannerinputs/generated/problemNailingBeamHL_b28_r1_m5_lay5.pddl,True,298.55,356.83,1,0,
195,2026-07-01 12:23:17.159,FF,NailingBeamHL_b27_r1_m5_lay5,Plannerinputs/generated/problemNailingBeamHL_b27_r1_m5_lay5.pddl,True,297.07,336.63,1,0,
196,2026-07-01 12:23:17.761,FF,NailingBeamHL_b29_r1_m5_lay5,Plannerinputs/generated/problemNailingBeamHL_b29_r1_m5_lay5.pddl,True,298.72,342.86,1,0,
197,2026-07-01 12:23:18.379,FF,NailingBeamHL_b25_r1_m5_lay5,Plannerinputs/generated/problemNailingBeamHL_b25_r1_m5_lay5.pddl,True,317.01,375.51,1,0,
198,2026-07-01 12:23:19.032,FF,NailingBeamHL_b30_r1_m5_lay5,Plannerinputs/generated/problemNailingBeamHL_b30_r1_m5_lay5.pddl,True,286.41,332.69,1,0,
199,2026-07-01 12:23:19.644,FF,NailingBeamHL_b32_r1_m6_lay6,Plannerinputs/generated/problemNailingBeamHL_b32_r1_m6_lay6.pddl,True,302.54,343.71,2,0,
200,2026-07-01 12:23:20.412,FF,NailingBeamHL_b34_r1_m6_lay6,Plannerinputs/generated/problemNailingBeamHL_b34_r1_m6_lay6.pddl,True,285.17,332.88,1,0,
201,2026-07-01 12:23:21.061,FF,NailingBeamHL_b33_r1_m6_lay6,Plannerinputs/generated/problemNailingBeamHL_b33_r1_m6_lay6.pddl,True,303.68,344.78,1,0,
202,2026-07-01 12:23:21.693,FF,NailingBeamHL_b35_r1_m6_lay6,Plannerinputs/generated/problemNailingBeamHL_b35_r1_m6_lay6.pddl,True,306.88,348.72,1,0,
203,2026-07-01 12:23:22.335,FF,NailingBeamHL_b31_r1_m6_lay6,Plannerinputs/generated/problemNailingBeamHL_b31_r1_m6_lay6.pddl,True,269.99,324.17,1,0,
204,2026-07-01 12:23:22.956,FF,NailingBeamHL_b36_r1_m6_lay6,Plannerinputs/generated/problemNailingBeamHL_b36_r1_m6_lay6.pddl,True,263.87,304.15,1,0,
205,2026-07-01 12:23:23.542,FF,NailingBeamHL_b38_r1_m7_lay7,Plannerinputs/generated/problemNailingBeamHL_b38_r1_m7_lay7.pddl,True,264.12,309.92,2,0,
206,2026-07-01 12:23:24.259,FF,NailingBeamHL_b40_r1_m7_lay7,Plannerinputs/generated/problemNailingBeamHL_b40_r1_m7_lay7.pddl,True,256.48,302.14,1,0,
