LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
26,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup4,movej,rpmanipulate,,True,10825.30
27,MoveToLL,MoveToLL_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,planned,finallocstick9,,True,17521.42
28,MoveToLL,MoveToLL_StackOnTwoML_stick9_robot1_finallocstick9_rpmanipulate_stick5_stick4_gripper1_layer1_layer2,movej,rpmanipulate,,True,10068.90
29,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup5,movej,rppickup,,True,10902.42
30,MoveToLL,MoveToLL_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,initloccube2,,True,6274.41
31,CloseGripperLL,CloseGripperLL_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,close_gripper,,,True,1.13
32,MoveToLL,MoveToLL_PickUpML_cube2_initloccube2_robot1_gripper1_rppickup,movel,rppickup,,True,5123.49
33,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup5,movej,rpmanipulate,,True,11303.72
34,MoveToLL,MoveToLL_StackML_cube2_stick5_robot1_gripper1_finloccube2_rpmanipulate,planned,finloccube2,,True,17491.88
35,MoveToLL,MoveToLL_StackML_cube2_stick5_robot1_gripper1_finloccube2_rpmanipulate,movej,rpmanipulate,,True,10051.70
36,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup6,movej,rppickup,,True,10794.88
37,MoveToLL,MoveToLL_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,initlocstick1,,True,6347.41
38,CloseGripperLL,CloseGripperLL_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,close_gripper,,,True,12.54
39,MoveToLL,MoveToLL_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,movel,rppickup,,True,5217.53
40,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup6,movej,rpmanipulate,,True,10749.17
41,MoveToLL,MoveToLL_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,planned,finallocstick1,,True,21487.71
42,MoveToLL,MoveToLL_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,movej,rpmanipulate,,True,14271.06
43,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup7,movej,rppickup,,True,10888.82
44,MoveToLL,MoveToLL_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,movel,initlocstick3,,True,5205.28
45,CloseGripperLL,CloseGripperLL_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,close_gripper,,,True,11.92
