LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
123,PushDownLL,PushDownLL_pushDown_NailingML_stick9_stick4_robot1_staplergun1_rpmanipulate,lift,,,True,1239.06
124,LiftLL,LiftLL_liftAfterNail_NailingML_stick9_stick4_robot1_staplergun1_rpmanipulate,lift,,,True,4091.79
125,NailingLL,NailingLL_moveToNailPos_NailingML_stick9_stick5_robot1_staplergun1_rpmanipulate,movej,unknown,,True,3785.90
126,PushDownLL,PushDownLL_pushDown_NailingML_stick9_stick5_robot1_staplergun1_rpmanipulate,lift,,,True,1511.30
127,LiftLL,LiftLL_liftAfterNail_NailingML_stick9_stick5_robot1_staplergun1_rpmanipulate,lift,,,True,4090.89
128,NailingLL,NailingLL_moveToNailPos_NailingML_cube1_stick1_robot1_staplergun1_rpmanipulate,movej,unknown,,True,6173.45
129,PushDownLL,PushDownLL_pushDown_NailingML_cube1_stick1_robot1_staplergun1_rpmanipulate,lift,,,True,1244.63
130,LiftLL,LiftLL_liftAfterNail_NailingML_cube1_stick1_robot1_staplergun1_rpmanipulate,lift,,,True,4004.84
131,NailingLL,NailingLL_moveToNailPos_NailingML_cube2_stick5_robot1_staplergun1_rpmanipulate,movej,unknown,,True,6755.59
132,PushDownLL,PushDownLL_pushDown_NailingML_cube2_stick5_robot1_staplergun1_rpmanipulate,lift,,,True,1471.15
133,LiftLL,LiftLL_liftAfterNail_NailingML_cube2_stick5_robot1_staplergun1_rpmanipulate,lift,,,True,4073.64
134,NailingLL,NailingLL_moveToNailPos_NailingML_stick6_stick1_robot1_staplergun1_rpmanipulate,movej,unknown,,True,7583.47
135,PushDownLL,PushDownLL_pushDown_NailingML_stick6_stick1_robot1_staplergun1_rpmanipulate,lift,,,True,1243.80
136,LiftLL,LiftLL_liftAfterNail_NailingML_stick6_stick1_robot1_staplergun1_rpmanipulate,lift,,,True,4091.92
137,NailingLL,NailingLL_moveToNailPos_NailingML_stick6_stick2_robot1_staplergun1_rpmanipulate,movej,unknown,,True,5492.73
138,PushDownLL,PushDownLL_pushDown_NailingML_stick6_stick2_robot1_staplergun1_rpmanipulate,lift,,,True,1864.14
139,LiftLL,LiftLL_liftAfterNail_NailingML_stick6_stick2_robot1_staplergun1_rpmanipulate,lift,,,True,4070.47
140,NailingLL,NailingLL_moveToNailPos_NailingML_stick7_stick2_robot1_staplergun1_rpmanipulate,movej,unknown,,True,5891.21
141,PushDownLL,PushDownLL_pushDown_NailingML_stick7_stick2_robot1_staplergun1_rpmanipulate,lift,,,True,1534.23
142,LiftLL,LiftLL_liftAfterNail_NailingML_stick7_stick2_robot1_staplergun1_rpmanipulate,lift,,,True,4053.35
143,NailingLL,NailingLL_moveToNailPos_NailingML_stick7_stick3_robot1_staplergun1_rpmanipulate,movej,unknown,,True,5407.78
144,PushDownLL,PushDownLL_pushDown_NailingML_stick7_stick3_robot1_staplergun1_rpmanipulate,lift,,,True,1235.96
145,LiftLL,LiftLL_liftAfterNail_NailingML_stick7_stick3_robot1_staplergun1_rpmanipulate,lift,,,True,4071.74
146,NailingLL,NailingLL_moveToNailPos_NailingML_stick8_stick3_robot1_staplergun1_rpmanipulate,movej,unknown,,True,4900.29
147,PushDownLL,PushDownLL_pushDown_NailingML_stick8_stick3_robot1_staplergun1_rpmanipulate,lift,,,True,1905.56
148,LiftLL,LiftLL_liftAfterNail_NailingML_stick8_stick3_robot1_staplergun1_rpmanipulate,lift,,,True,4119.28
149,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rptoolchange_dup2,plannedj,rptoolchange,,True,5511.26
150,DeequipToolLL,DeequipToolLL_deequipTool_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange,play_program,,,True,7975.47
151,EquipToolLL,EquipToolLL_equipTool_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper,play_program,,,True,21203.46
152,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rptoolchange_rppickup,plannedj,rppickup,,True,8136.20
153,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,plannedl,initlocstick11,,True,3881.50
154,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,close_gripper,,,True,1803.70
155,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,plannedl,rppickup,,True,3914.89
156,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup13,plannedj,rpmanipulate,,True,11398.62
157,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,plannedj,finallocstick11,,True,7770.52
158,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,open_gripper,,,True,1692.41
159,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,lift,,,True,3734.82
160,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,plannedj,rpmanipulate,,True,7469.26
161,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup14,plannedj,rppickup,,True,11104.99
162,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,plannedl,initlocstick10,,True,3880.07
163,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,close_gripper,,,True,1739.98
164,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,plannedl,rppickup,,True,3919.96
165,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup14,plannedj,rpmanipulate,,True,11539.99
166,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_cube1_stick6_gripper1_layer2_layer3,plannedj,finallocstick10,,True,7197.56
167,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_cube1_stick6_gripper1_layer2_layer3,open_gripper,,,True,2205.85
168,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_cube1_stick6_gripper1_layer2_layer3,lift,,,True,3723.99
169,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_cube1_stick6_gripper1_layer2_layer3,plannedj,rpmanipulate,,True,7030.69
170,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup15,plannedj,rppickup,,True,11095.97
171,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick12_initlocstick12_robot1_gripper1_rppickup,plannedl,initlocstick12,,True,4560.02
172,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick12_initlocstick12_robot1_gripper1_rppickup,close_gripper,,,True,1805.91
173,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick12_initlocstick12_robot1_gripper1_rppickup,plannedl,rppickup,,True,3850.02
174,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup15,plannedj,rpmanipulate,,True,11748.75
175,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick12_robot1_finallocstick12_rpmanipulate_stick7_stick8_gripper1_layer2_layer3,plannedj,finallocstick12,,True,6343.84
176,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick12_robot1_finallocstick12_rpmanipulate_stick7_stick8_gripper1_layer2_layer3,open_gripper,,,True,1940.14
177,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick12_robot1_finallocstick12_rpmanipulate_stick7_stick8_gripper1_layer2_layer3,lift,,,True,3737.48
178,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick12_robot1_finallocstick12_rpmanipulate_stick7_stick8_gripper1_layer2_layer3,plannedj,rpmanipulate,,True,6380.92
179,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup16,plannedj,rppickup,,True,10924.49
180,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick15_initlocstick15_robot1_gripper1_rppickup,plannedl,initlocstick15,,True,3876.60
181,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick15_initlocstick15_robot1_gripper1_rppickup,close_gripper,,,True,1774.69
182,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick15_initlocstick15_robot1_gripper1_rppickup,plannedl,rppickup,,True,3875.43
183,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup16,plannedj,rpmanipulate,,True,11220.99
