CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
61,False,,2026-05-29 17:06:43.644,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup8,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11351.12,39.99,50,4.860,13635.64,2130.01,0.00,2130.01,,
62,False,,2026-05-29 17:06:57.324,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,plannedl,initlocstick7,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3881.02,16.94,16,1.421,5980.53,44.32,0.00,44.32,,
63,False,,2026-05-29 17:07:03.325,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1806.11,0.00,0,0.000,3826.20,20.51,0.00,20.51,,
64,False,,2026-05-29 17:07:07.176,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3932.59,25.29,16,1.400,6040.19,24.62,0.00,24.62,,
65,False,,2026-05-29 17:07:15.474,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup7,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11253.25,34.20,51,4.916,13418.63,2257.51,0.00,2257.51,,
66,False,,2026-05-29 17:07:28.935,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,plannedj,finallocstick7,,1.00,1.00,"0.234723;0.677114;0.007500;0.000000;-3.141590;0.000000","",True,7163.02,16.39,29,2.717,9254.27,42.57,0.00,42.57,,
67,False,,2026-05-29 17:07:38.207,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,open_gripper,,,0.50,1.00,"","",True,2288.23,0.00,0,0.000,4309.31,17.64,0.00,17.64,,
68,False,,2026-05-29 17:07:42.532,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,lift,,,0.50,1.00,"","",True,3709.79,0.00,0,0.000,5747.57,15.60,0.00,15.60,,
69,False,,2026-05-29 17:07:48.303,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,6524.98,176.73,29,2.715,9054.00,24.10,0.00,24.10,,
70,False,,2026-05-29 17:07:59.771,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup9,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11452.52,24.73,50,4.859,13573.53,2413.99,0.00,2413.99,,
